,user_id,item_indices_seq,review_titles_seq,review_texts_seq,ratings_seq,helpful_votes_seq,verified_seq
0,AE22AW5HIVQGD3MXT77X5ETHBXDA,[89],['EZ to use'],['I got a small credit for signing up for the reload. It was really easy to use.'],[5],[0],[1]
1,AE22CPEXH5DJP2SHDSVYEKMPXSRQ,[89],['Old system was better.'],['This way of redeeming gift cards is super confusing. I had to watch multiple videos and look at some articles to do it. I would prefer a better method such as the old way.'],[2],[1],[1]
2,AE22LNDYO5VO3ZPRC4SO4HTXLQHQ,[69],['Amazon Gift Card'],"['This is the second Amazon Gift Card I received.  They are so easy to use, I add them to my account and can buy anything quick and easily.  I usually buy my Kindle books with the gift cards.  It makes it so much easier and I get to pick books I want and get them immediately.  I highly recommend Amazon Gift Cards.']",[5],[0],[0]
3,AE22MKI7UCHLFE2ZLY24342RT76A,[127],['This important birthday gift was shipped to my grandson without ...'],"[""This important birthday gift was shipped to my grandson without the gift card, so he didn't know it was from me until I asked him if he received it.<br />What kind of service is that?""]",[1],[0],[0]
4,AE22MYLYBUNINUDYYE5LOT7RW26Q,[135],['Please refund for empty gift card. It had to be fo Hanukkah for my grand daughter.'],['Gift card came empty. What a dissapointment. Please refund. $100 visa gift card.'],[1],[0],[0]
5,AE22OVTSANRXRIIXJE2IRHYJMR2A,[541],['Five Stars'],['Excelent product'],[5],[0],[1]
6,AE22QH6ZMFFFTGFLAZZPBPMQ3BXA,[541],['Convenient'],['Easy to use'],[5],[0],[1]
7,AE22ROVSXEBTQR3P74MUNSRFPZZQ,[625],['Alteady gift wrapped. So cute'],['Cute little gift bag! I would recommend this product.'],[5],[0],[1]
8,AE22SPD232WJFBUXRFJ7IELOYZZQ,[89],['Free money!'],"['This was great. I was offered a free $10 when I reload $100 or more. I was about to make a $150 purchase, so I basically got a $10 discount! What more could you want?!?']",[5],[0],[1]
9,AE22T7EZW2QCFQ2MY7N24MYYDZWQ,[250],['Damaged Card'],"['I purchased this $50 Apple Gift card on Prime Day at the sale price of $40.00.  Once I received it, I pealed off the strip to reveal the redemption code.  The card must have been old or stored in the heat as the peal removed most of the first three characters of the redemption code.I could not read it.  Apples redemption scanner couldn\'t read it either.  What do you do with a card that you can not redeem?  I decided to try Apple support.  They require you to email them along with images of both sides of the card and my receipt.  Simple enough?  Nope.  Safari on my Mac would not let me attach it to the email as required.  I then redid the email on an iPad, re-took the images and successfully added the card images.  But not the Amazon receipt.  It would not accept a pdf or image of the receipt.  I ended up taking a screen print of the receipt.  That worked.  Now I must wait on the generosity of Apple to provide a new card.  If they refuse, I\'m out $40.  Clearly either Apple had a bad print on the card or Amazon did not store it properly and the strip adhesive was damaged.  The card does look and feel ""old"" but can\'t swear to it.  The moral of the story is don\'t buy gift cards.  Once you give up your money for them, you have no real recourse if the card can\'t be redeemed.  Buyer beware.']",[1],[3],[1]
10,AE22UZ7QPXMKW7TFPLE6TMTZIO5Q,[541],['This always works well for me'],['Love it'],[5],[0],[1]
11,AE22W5FYX2LLQF32V7S5EUJ6AS7Q,[89],['Hate it put my money back where you git it from'],['Pissed DONE'],[1],[0],[0]
12,AE22WF46OFM2N6GUG37GGNH3H35Q,[1031],"[""doesn't work""]","['Gave as a gift, not valid ??']",[1],[0],[1]
13,AE22XRGEJTT6UNBR62KW6YRG3FWQ,[541],['Awesome'],['Awesome'],[5],[0],[1]
14,AE22Y5CF3BLKDOHA55KXW4XI6CAA,[563],['Love it!'],['Purchased Amazon gift cards for bears every year. Love it!'],[5],[0],[1]
15,AE22Y7TZGDRTCLQ3CE3JZ36NH2DA,[227],['Almost threw it out!!!'],"['I am a devoted Amazon shopper.  However, I received a $50 gift card in the mail from a family memeber, and to my horror, I had actually almost mistaken it for junkmail and thrown it out.  If you are giving a physical GC as a gift, consider having it sent to yourself first, and then re-sending to your intended recipient as the computer generated address and return address make the envelope look as if it contains unwanted junkmail (as it just appears as mail being sent from ""Amazon.com""), and they may just toss it out before ever even opening it.  I have not tried to redeem it yet, and hope I am not further disappointed as others have been.']",[1],[0],[0]
16,AE235FCXDD6E6KB44JV6CXTYNYZA,[101],['Card was bogus'],['My brother just tried to use the card I gave him for Xmas and informed me it was bogus didn’t work no good. Would appreciate a credit to my account.'],[1],[0],[1]
17,AE23BDYBBC6GZTFL7C34M7RGMTBQ,[541],['Five Stars'],['This time around it was easy to reload and to use the credit.'],[5],[0],[1]
18,AE23DDAV3FGVDP7OXV7W6YF4JQZA,[521],['Easy'],['Wonderful for my 12 year old nephew!'],[5],[0],[1]
19,AE23HZRSABQT7O5NNCUPL5NQHUBQ,[89],['Fast reload'],['Super fast and simple'],[5],[0],[1]
20,AE23J56JNQ3YZTTMYFOFON5VQIKQ,[142],['Do not use Amazon for buying Gift Cards'],['I bought a MasterCard gift card for Christmas for someone. It doesn’t work in any stores!!!  No instructions so one would think it’s MasterCard and will work anywhere<br />So embarrassing<br />SO NOT HAPPY. DONT ORDER ANY GIFT CARDS'],[1],[0],[1]
21,AE23JCX72OQWIEHXKPT4GAN7FA6Q,[989],['Five Stars'],['PERFECT GIFT!'],[5],[0],[1]
22,AE23L6XAAUFEVIRE6S7IZGJ3LA3Q,[541],"[""You need to show GC #'s so I can purchase other things!!""]",['Easy to reload. I just wish it Showed/ Gave a number for the card... So you can Actually use it for other purchases.'],[4],[0],[1]
23,AE23OKGK5L7UNO32OVCQKOEXKIBQ,[541],['HOW DO YOU REVIEW A GIFT CARD!?!?'],['HOW???'],[5],[0],[1]
24,AE23OY4ZMHWSLUGYKWQ6TBTAVNYA,[69],['gift card'],['The gift card was a much appreciated Christmas gift that I will use to add books to my Kindle.  I really like how easy it was to use.'],[5],[0],[0]
25,AE23Q4NMY3THOIBF6TLMQZVOATTA,[658],['Five Stars'],"[""Arrived on time. What else to say, it's a gift card...""]",[5],[0],[1]
26,AE23SK2NKAT3M3XJGHDCY4FZ4E7A,[89],['Easy'],['Easy to add money.'],[5],[0],[1]
27,AE23TDVELYWKW7SSQPDBQQTHD3OQ,[541],['Five Stars'],['Easy to do. Convenient.'],[5],[0],[1]
28,AE243IQU7XYLADINSALJ3GFCYKNQ,[541],['Fast and reliable. 10/10 experience.'],['I would recommend this to anyone. Had no problems with any of my transactions.'],[5],[0],[1]
29,AE246DV3CAVG6SFEQI5KUMHAAQFA,[541],['awesome!'],['Instant reload...awesome!'],[5],[0],[1]
30,AE2477OVBKKKCKZUNQZ4NIKC636Q,[541],['Excellent'],['Excellent'],[5],[0],[1]
31,AE24APLMLVOAKNUVUQ4JWXDW6LGQ,[143],['Gift cards'],['Awesomelove gift cards!'],[5],[0],[1]
32,AE24ARXQXZCXDEDMQS2RVLKPNUJQ,[563],['Good'],['Very plush teddy bear. Good buy'],[4],[0],[1]
33,AE24BKVCBMSNQYKXYBZZA5CCQ45Q,[541],['SCAM! DO NOT RELOAD!!!'],"[""DO NOT RELOAD!! It's their way to make sure you won't get a refund on returns and are forced to use refund on gift card for credit on  their site only.""]",[1],[0],[1]
34,AE24BXE32ZK6UTSHN7RMYEKOJNYA,[541],"[""It's quick and easy to do and saves me a lot of time""]","[""Being able to reload the gift card is really handy. It's quick and easy to do and saves me a lot of time.""]",[5],[0],[1]
35,AE24CJHPOO2MZBGHI4RRM2N2GZ5A,[541],['Never received it'],"[""I don't know what this is. I accidentally tapped it and received confirmation about it. But I've never seen it or received it""]",[3],[0],[1]
36,AE24DWAWC5I6BKPAT3SOUCPSUFIA,[143],['Super cute because it comes in its own giftbox'],['Super cute because it comes in its own giftbox! Makes it seem a lot fancier than just a gift card in a paper slip'],[5],[0],[1]
37,AE24FSMO32CNLD2LICG673476R6Q,[541],['Awesome'],['I like this.'],[5],[0],[1]
38,AE24HLT7PDEWM3TKS6RYIABWMGEQ,[541],['Easy to use'],['Loved it'],[5],[0],[1]
39,AE24JHJ5JVP4LUKVJDFSFESVR2RA,[541],['love using your gift cards'],['its easy to reload and use.'],[5],[0],[1]
40,AE24NWECZIO3ZNQTH6F7H6XSSUOQ,[69],['love it'],"['Love received Amazon gift cards because I can always find something I like, need or want.  Was able to spread the card out on several items.']",[5],[0],[0]
41,AE24PD2GE3BU6UZ2L7R2I46XPPLQ,[541],['Four Stars'],['No reason'],[4],[1],[1]
42,AE24PDJSC3TKJGOUI2B3ATJXINJQ,[505],['I am not able to access the $10 reward from ...'],['I am not able to access the $10 reward from Prime day. That was the whole point in buying these...'],[2],[0],[0]
43,AE24PZ4Q5XPN53I7T62SZJXX2WLQ,[799],['Five Stars'],['It was a Christmas gift & my brother loved it.'],[5],[0],[1]
44,AE24Q4J7Q35ACST43XWE3LYXUQYA,[541],['Love it'],"['Great idea! I could buy an Amazon gift card at my local grocery store and earn gas points, or buy it here and get extra money to spend on Amazon. Thanks']",[5],[2],[1]
45,AE24QRZTBBBH22K2HECRMMTPGKIQ,[849],['gifts'],['As promised this card can be used for many things and he gets to choose out of a very wide variety.'],[5],[0],[1]
46,AE24RH64AFHUEMAWPBNRCMJNTIAQ,[507],['This card was not accepted at Roger Dunn on Maui and the store never heard of the Go Play Golf.com'],"['The Roger Dunn store on Maui never heard of Go Play Golf.com.  They would not accept the card.  Also called to see if the Kaanapali golf course knew about the card and they did not.  The card is difficult to use at best and in most cases on Maui, not accepted.  Very poor gift card to give as a gift.']",[1],[1],[0]
47,AE24RHZ4RLKHY77B7OSDYTMMLL4A,[353],['I love the box. It was very nice.'],['I love the box. It was very nice. I got it in just one day.'],[5],[0],[0]
48,AE24SU23XPDGKECJDTQNGPXAY72A,[87],"['Great gift for distant gift giving, especially grand kids.']",['The grand kids love this gift option and it is so easy to buy and use.  We use these throughout the year.'],[5],[0],[1]
49,AE24UH32VTQLZHNSF6RFSQUJQIHA,[541],['Would buy again'],['Great and easy way to get gift cards'],[5],[0],[1]
50,AE24UYIEOWWVEPF55JQG7JW6WS3Q,[101],['Easy and cute gift!'],['Super cute! Great gift!'],[5],[0],[1]
51,AE24W2UV6ENYJ2JVOP6SANLEPZSQ,[135],['Great for a gift for any occasion'],['Great! Easy breezy'],[5],[1],[1]
52,AE24X5QI3FEM3LONDEF6G6TB7DLQ,[124],"['"" The tin Santa Rocks"" !!!!!!']","['What can I say ,&#34; The Tin Santa Rocks&#34; !!!!!!']",[5],[0],[1]
53,AE24YVS6LLINDKF4QVSPK3TOM3OQ,[541],['realy good'],['fast and easy the best'],[5],[0],[1]
54,AE2545UNSQUB2X3NIBCS5UPEP5GQ,"[541, 89]","['Happy', 'Good']","[""It's great"", ""It's great!""]","[5, 5]","[0, 0]","[1, 1]"
55,AE256BJU3D7UQWL6MG5DLTDL3DFA,[921],['Lousy service!'],['No gift box!  I had two orders both messed up big time!'],[1],[0],[0]
56,AE256MGNCZOLOFBORLZBL5KXT6JA,[541],['Great way to save for Christmas'],"[""I have been putting a few $$ a week on my reload card, it is super easy and just by rounding up my usual grocery and bill paying by putting the extra few dollars on my amazon card which I don't really miss has mounted up to a nice little amount for Christmas or Birthdays.<br />Grocery shop comes to $94.75 I put $5.25 on my amazon card when you are mentally keeping track of you bank balance you would think oh Spent $100 on groceries.""]",[5],[6],[1]
57,AE25BDJXF7OGAW3UR7EW2SR77OGA,[101],['Five Stars'],"['Great product, was delivered on time and the item was as described.']",[5],[0],[1]
58,AE25HZZIKLNQUJWNAJFG2E37U3ZQ,[135],['No problem other than the gas station'],['I had no problem with mine so far. I activated the card & made one online purchase & no problem! I did try & use it for gas at 2 different gas stations & it did not work. Maybe it won’t work for gas?'],[5],[0],[1]
59,AE25IVZX733CGIQSLFYDKV3J52PQ,"[873, 371]","['Five Stars', 'Five Stars']","['perfect for christmas', 'loved it']","[5, 5]","[0, 0]","[1, 1]"
